CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
391;com.thesleepless.helium.ActionRegisterBuilderTest$null;39;32;6;10;10;6;0;6;0;297;10
1759;com.thesleepless.helium.ArticleBuilderTest$null;62;78;12;21;25;18;10;8;0;285;31
9505;com.thesleepless.helium.ArticleParserTest$null;138;167;65;80;93;83;55;27;1;220;111
9663;com.thesleepless.helium.HeliumFactoryTest$null;29;7;2;5;12;85;55;29;1;218;116
10281;com.thesleepless.helium.RegisterActionTest$null;84;82;3;8;49;88;57;30;1;215;124
10678;com.thesleepless.helium.action.ActionActionTest$null;53;36;2;7;52;90;58;31;1;213;131
11708;com.thesleepless.helium.action.ActionSetActionTest$null;77;63;8;15;56;98;58;39;1;205;146
12370;com.thesleepless.helium.action.ConstructActionTest$null;97;93;3;8;48;101;61;39;1;202;154
14353;com.thesleepless.helium.action.IncludeActionTest$null;97;80;12;26;81;113;71;41;1;190;180
16703;com.thesleepless.helium.action.IterateActionTest$null;90;63;8;22;77;121;75;44;2;182;202
17677;com.thesleepless.helium.action.ListActionTest$null;116;63;8;13;60;129;82;45;2;174;215
19092;com.thesleepless.helium.action.VarActionTest$null;89;70;5;16;96;134;86;46;2;169;231
22967;com.thesleepless.helium.action.WhenActionTest$null;138;120;23;34;88;157;101;54;2;146;265
29317;com.thesleepless.helium.ui.text.CommandLineTest$null;123;109;47;66;184;204;128;74;2;99;331
29386;com.thesleepless.helium.util.IteratorFactoryTest$null;21;1;3;3;7;207;130;75;2;96;334
29658;com.thesleepless.helium.util.TagUtilTest$null;26;6;2;8;34;209;131;76;2;94;342
30607;com.thesleepless.heliumx.net.UrlEncodeActionTest$null;90;105;8;13;60;217;135;80;2;86;355
46191;com.thesleepless.heliumx.servlet.HeliumServletTest$null;295;265;28;55;109;245;152;91;2;58;410
49578;com.thesleepless.heliumx.servlet.action.AttributeActionTest$null;193;147;12;18;75;257;161;94;2;46;428
55748;com.thesleepless.heliumx.servlet.action.CookieActionTest$null;304;229;18;28;84;275;172;101;2;28;456
56531;com.thesleepless.heliumx.servlet.action.ParameterActionTest$null;110;53;0;6;58;275;172;101;2;28;462
58623;com.thesleepless.heliumx.servlet.action.RequestActionTest$null;187;142;4;12;62;279;176;101;2;24;474
