CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
229;org.junit.internal.MethodSorterTest$null;10;17;13;32;32;13;11;2;0;1388;32
335;org.junit.tests.ObjectContractTest$null;11;24;3;14;14;16;11;5;0;1385;46
414;org.junit.tests.deprecated.JUnit4ClassRunnerTest$null;6;16;9;20;20;25;20;5;0;1376;66
482;org.junit.tests.description.AnnotatedDescriptionTest$null;7;13;2;13;13;27;22;5;0;1374;79
3844;org.junit.tests.experimental.ExperimentalTests$null;80;110;227;227;227;254;22;232;0;1147;306
3854;org.junit.tests.experimental.MatcherTest$null;9;6;2;3;10;256;22;234;0;1145;309
4144;org.junit.tests.experimental.parallel.ParallelClassTest$null;5;3;3;18;25;259;24;235;0;1142;327
4370;org.junit.tests.experimental.parallel.ParallelMethodTest$null;6;1;3;10;14;262;27;235;0;1139;337
4370;org.junit.tests.experimental.results.ResultMatchersTest$null;3;0;0;0;10;262;27;235;0;1139;337
4379;org.junit.tests.experimental.rules.ExternalResourceRuleTest$null;3;1;4;5;5;266;31;235;0;1135;342
4388;org.junit.tests.experimental.rules.NameRulesTest$null;3;0;0;5;5;266;31;235;0;1135;347
4388;org.junit.tests.experimental.rules.TimeoutRuleTest$null;2;0;0;0;3;266;31;235;0;1135;347
4404;org.junit.tests.experimental.theories.AllMembersSupplierTest$null;2;1;4;9;16;270;33;237;0;1131;356
4473;org.junit.tests.experimental.theories.runner.TheoriesPerformanceTest$null;2;0;0;1;1;270;33;237;0;1131;357
4474;org.junit.tests.junit3compatibility.ClassRequestTest$null;2;0;0;1;1;270;33;237;0;1131;358
4521;org.junit.tests.junit3compatibility.ForwardCompatibilityPrintingTest$null;5;5;13;16;23;283;44;239;0;1118;374
4787;org.junit.tests.junit3compatibility.ForwardCompatibilityTest$null;9;8;32;48;51;315;69;246;0;1086;422
4824;org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest$null;3;2;10;15;22;325;77;248;0;1076;437
4887;org.junit.tests.junit3compatibility.JUnit38ClassRunnerTest$null;5;2;15;22;22;340;87;253;0;1061;459
4896;org.junit.tests.junit3compatibility.OldTestClassAdaptingListenerTest$null;3;1;4;5;12;344;91;253;0;1057;464
15418;org.junit.tests.junit3compatibility.OldTests$null;395;451;638;638;648;982;723;259;0;419;1102
15514;org.junit.tests.junit3compatibility.SuiteMethodTest$null;6;4;21;35;42;1003;743;260;0;398;1137
15692;org.junit.tests.listening.ListenerTest$null;3;1;5;6;6;1008;747;260;1;393;1143
15729;org.junit.tests.listening.RunnerTest$null;4;2;11;15;22;1019;758;260;1;382;1158
15772;org.junit.tests.listening.TestListenerTest$null;4;2;12;16;16;1031;768;262;1;370;1174
15820;org.junit.tests.listening.TextListenerTest$null;8;5;6;16;23;1037;773;263;1;364;1190
15823;org.junit.tests.listening.UserStopTest$null;3;0;3;3;3;1040;776;263;1;361;1193
15836;org.junit.tests.manipulation.FilterableTest$null;5;3;1;6;13;1041;777;263;1;360;1199
15979;org.junit.tests.manipulation.SingleMethodTest$null;8;8;25;43;43;1066;802;263;1;335;1242
16083;org.junit.tests.manipulation.SortableTest$null;11;8;18;25;32;1084;820;263;1;317;1267
16099;org.junit.tests.running.classes.EnclosedTest$null;5;5;4;7;14;1088;824;263;1;313;1274
16107;org.junit.tests.running.classes.IgnoreClassTest$null;2;1;4;6;6;1092;828;263;1;309;1280
16137;org.junit.tests.running.classes.RunWithTest$null;4;2;7;12;19;1099;833;265;1;302;1292
16386;org.junit.tests.running.classes.SuiteTest$null;12;8;31;47;54;1130;862;267;1;271;1339
16400;org.junit.tests.running.classes.UseSuiteAsASuperclassTest$null;4;2;5;7;7;1135;867;267;1;266;1346
16423;org.junit.tests.running.methods.ExpectedTest$null;4;2;4;10;17;1139;867;271;1;262;1356
16427;org.junit.tests.running.methods.InheritedTestTest$null;3;2;1;3;3;1140;868;271;1;261;1359
16471;org.junit.tests.running.methods.ParameterizedTestMethodTest$null;5;1;18;19;19;1158;868;289;1;243;1378
16579;org.junit.tests.running.methods.TestMethodTest$null;7;5;27;35;40;1185;895;289;1;216;1413
16586;org.junit.tests.validation.BadlyFormedClassesTest$null;4;3;2;5;5;1187;895;291;1;214;1418
16590;org.junit.tests.validation.FailedConstructionTest$null;3;0;2;3;7;1189;895;293;1;212;1421
16590;org.junit.tests.validation.InaccessibleBaseClassTest$null;2;1;0;0;0;1189;895;293;1;212;1421
16596;org.junit.tests.validation.ValidationTest$null;3;2;2;4;4;1191;895;295;1;210;1425
