CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
219;org.junit.internal.MethodSorterTest$null;11;25;17;32;32;17;15;2;0;1384;32
359;org.junit.tests.ObjectContractTest$null;12;25;3;14;14;20;15;5;0;1381;46
444;org.junit.tests.deprecated.JUnit4ClassRunnerTest$null;6;12;9;20;20;29;24;5;0;1372;66
531;org.junit.tests.description.AnnotatedDescriptionTest$null;8;8;2;17;17;31;26;5;0;1370;83
3983;org.junit.tests.experimental.ExperimentalTests$null;89;156;227;227;227;258;26;232;0;1143;310
3992;org.junit.tests.experimental.MatcherTest$null;10;6;2;3;10;260;26;234;0;1141;313
4244;org.junit.tests.experimental.parallel.ParallelClassTest$null;8;4;3;18;28;263;28;235;0;1138;331
4464;org.junit.tests.experimental.parallel.ParallelMethodTest$null;3;5;3;10;10;266;31;235;0;1135;341
4465;org.junit.tests.experimental.results.ResultMatchersTest$null;3;0;0;0;6;266;31;235;0;1135;341
4474;org.junit.tests.experimental.rules.ExternalResourceRuleTest$null;2;14;4;5;12;270;35;235;0;1131;346
4485;org.junit.tests.experimental.rules.NameRulesTest$null;3;0;0;5;8;270;35;235;0;1131;351
4485;org.junit.tests.experimental.rules.TimeoutRuleTest$null;1;0;0;0;0;270;35;235;0;1131;351
4514;org.junit.tests.experimental.theories.AllMembersSupplierTest$null;1;1;4;9;9;274;37;237;0;1127;360
4570;org.junit.tests.experimental.theories.runner.TheoriesPerformanceTest$null;2;0;0;1;4;274;37;237;0;1127;361
4572;org.junit.tests.junit3compatibility.ClassRequestTest$null;3;1;0;1;8;274;37;237;0;1127;362
4615;org.junit.tests.junit3compatibility.ForwardCompatibilityPrintingTest$null;4;3;13;16;19;287;48;239;0;1114;378
4821;org.junit.tests.junit3compatibility.ForwardCompatibilityTest$null;7;6;32;48;55;319;73;246;0;1082;426
4864;org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest$null;3;1;10;15;15;329;81;248;0;1072;441
4935;org.junit.tests.junit3compatibility.JUnit38ClassRunnerTest$null;4;2;15;22;29;344;91;253;0;1057;463
4943;org.junit.tests.junit3compatibility.OldTestClassAdaptingListenerTest$null;3;1;4;5;8;348;95;253;0;1053;468
15695;org.junit.tests.junit3compatibility.OldTests$null;433;546;638;638;645;986;727;259;0;415;1106
15830;org.junit.tests.junit3compatibility.SuiteMethodTest$null;7;4;21;35;42;1007;747;260;0;394;1141
15845;org.junit.tests.listening.ListenerTest$null;4;1;5;6;6;1012;752;260;0;389;1147
15889;org.junit.tests.listening.RunnerTest$null;9;2;11;15;22;1023;763;260;0;378;1162
15928;org.junit.tests.listening.TestListenerTest$null;4;2;12;16;16;1035;773;262;0;366;1178
15991;org.junit.tests.listening.TextListenerTest$null;5;5;6;16;23;1041;778;263;0;360;1194
15995;org.junit.tests.listening.UserStopTest$null;2;1;3;3;3;1044;781;263;0;357;1197
16013;org.junit.tests.manipulation.FilterableTest$null;4;3;1;6;6;1045;782;263;0;356;1203
16342;org.junit.tests.manipulation.SingleMethodTest$null;7;8;25;43;50;1070;806;263;1;331;1246
16468;org.junit.tests.manipulation.SortableTest$null;12;9;18;25;32;1088;824;263;1;313;1271
16482;org.junit.tests.running.classes.EnclosedTest$null;6;5;4;7;14;1092;828;263;1;309;1278
16489;org.junit.tests.running.classes.IgnoreClassTest$null;3;1;4;6;6;1096;832;263;1;305;1284
16512;org.junit.tests.running.classes.RunWithTest$null;4;3;7;12;19;1103;837;265;1;298;1296
16720;org.junit.tests.running.classes.SuiteTest$null;15;13;31;47;54;1134;866;267;1;267;1343
16736;org.junit.tests.running.classes.UseSuiteAsASuperclassTest$null;4;2;5;7;14;1139;871;267;1;262;1350
16766;org.junit.tests.running.methods.ExpectedTest$null;6;2;4;10;10;1143;871;271;1;258;1360
16771;org.junit.tests.running.methods.InheritedTestTest$null;3;1;1;3;3;1144;872;271;1;257;1363
16826;org.junit.tests.running.methods.ParameterizedTestMethodTest$null;6;1;18;19;26;1162;872;289;1;239;1382
16950;org.junit.tests.running.methods.TestMethodTest$null;9;5;27;35;42;1189;899;289;1;212;1417
16959;org.junit.tests.validation.BadlyFormedClassesTest$null;5;3;2;5;5;1191;899;291;1;210;1422
16963;org.junit.tests.validation.FailedConstructionTest$null;3;1;2;3;10;1193;899;293;1;208;1425
16963;org.junit.tests.validation.InaccessibleBaseClassTest$null;3;1;0;0;0;1193;899;293;1;208;1425
16970;org.junit.tests.validation.ValidationTest$null;4;3;2;4;4;1195;899;295;1;206;1429
