CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
151;junit.samples.ListTest$null;3;1;29;55;55;29;28;1;0;1492;55
1585;junit.samples.money.MoneyTest$null;19;2;146;215;215;175;167;8;0;1346;270
7172;junit.tests.extensions.ActiveTestTest$null;129;151;40;61;61;215;204;11;0;1306;331
7346;junit.tests.extensions.ExtensionTest$null;8;5;15;29;29;230;219;11;0;1291;360
7559;junit.tests.framework.AssertTest$null;5;1;18;54;54;248;237;11;0;1273;414
7794;junit.tests.framework.ComparisonCompactorTest$null;3;0;27;57;57;275;250;25;0;1246;471
7807;junit.tests.framework.ComparisonFailureTest$null;1;0;3;4;4;278;253;25;0;1243;475
7885;junit.tests.framework.DoublePrecisionAssertTest$null;2;0;0;27;27;278;253;25;0;1243;502
7996;junit.tests.framework.FloatAssertTest$null;2;0;0;35;35;278;253;25;0;1243;537
7996;junit.tests.framework.NoArgTestCaseTest$null;1;0;0;0;0;278;253;25;0;1243;537
8726;junit.tests.framework.SuiteTest$null;4;5;53;104;104;331;304;27;0;1190;641
9587;junit.tests.framework.TestCaseTest$null;6;2;48;106;107;379;351;28;0;1142;747
9642;junit.tests.framework.TestImplementorTest$null;2;0;6;15;15;385;357;28;0;1136;762
9783;junit.tests.framework.TestListenerTest$null;2;0;29;35;35;414;386;28;0;1107;797
9836;junit.tests.runner.StackFilterTest$null;1;0;6;20;20;420;392;28;0;1101;817
9986;junit.tests.runner.TextFeedbackTest$null;5;8;19;32;32;439;409;30;0;1082;849
10107;org.junit.internal.MethodSorterTest$null;7;9;15;24;24;454;422;32;0;1067;873
10345;org.junit.samples.ListTest$null;4;4;18;57;57;472;422;50;0;1049;930
11454;org.junit.samples.money.MoneyTest$null;7;11;92;154;216;564;422;142;0;957;1084
11530;org.junit.tests.ObjectContractTest$null;9;19;3;14;14;567;422;145;0;954;1098
11616;org.junit.tests.deprecated.JUnit4ClassRunnerTest$null;5;9;9;20;20;576;431;145;0;945;1118
11690;org.junit.tests.description.AnnotatedDescriptionTest$null;6;6;2;10;10;578;433;145;0;943;1128
11745;org.junit.tests.experimental.MatcherTest$null;8;7;2;10;10;580;433;147;0;941;1138
12073;org.junit.tests.experimental.parallel.ParallelClassTest$null;4;5;3;25;25;583;435;148;0;938;1163
12311;org.junit.tests.experimental.parallel.ParallelMethodTest$null;3;2;3;10;10;586;438;148;0;935;1173
12319;org.junit.tests.experimental.results.ResultMatchersTest$null;3;0;2;3;3;588;440;148;0;933;1176
12363;org.junit.tests.experimental.rules.ExternalResourceRuleTest$null;5;2;4;12;12;592;444;148;0;929;1188
12384;org.junit.tests.experimental.rules.NameRulesTest$null;3;0;0;5;5;592;444;148;0;929;1193
12384;org.junit.tests.experimental.rules.TimeoutRuleTest$null;3;0;0;0;0;592;444;148;0;929;1193
12435;org.junit.tests.experimental.theories.AllMembersSupplierTest$null;3;1;4;16;16;596;446;150;0;925;1209
12513;org.junit.tests.experimental.theories.runner.TheoriesPerformanceTest$null;1;1;0;1;1;596;446;150;0;925;1210
12515;org.junit.tests.junit3compatibility.ClassRequestTest$null;1;1;0;1;1;596;446;150;0;925;1211
12589;org.junit.tests.junit3compatibility.ForwardCompatibilityPrintingTest$null;4;1;13;16;16;609;457;152;0;912;1227
13019;org.junit.tests.junit3compatibility.ForwardCompatibilityTest$null;6;6;32;55;55;641;482;159;0;880;1282
13085;org.junit.tests.junit3compatibility.InitializationErrorForwardCompatibilityTest$null;3;1;10;15;15;651;490;161;0;870;1297
13201;org.junit.tests.junit3compatibility.JUnit38ClassRunnerTest$null;4;2;15;22;22;666;500;166;0;855;1319
13238;org.junit.tests.junit3compatibility.OldTestClassAdaptingListenerTest$null;1;0;4;12;12;670;504;166;0;851;1331
13453;org.junit.tests.junit3compatibility.SuiteMethodTest$null;4;3;21;35;35;691;524;167;0;830;1366
13477;org.junit.tests.listening.ListenerTest$null;2;0;5;6;6;696;529;167;0;825;1372
13581;org.junit.tests.listening.RunnerTest$null;3;2;11;22;22;707;540;167;0;814;1394
13642;org.junit.tests.listening.TestListenerTest$null;3;2;12;16;16;719;550;169;0;802;1410
13723;org.junit.tests.listening.TextListenerTest$null;5;5;6;16;16;725;555;170;0;796;1426
13752;org.junit.tests.listening.UserStopTest$null;2;1;3;10;10;728;558;170;0;793;1436
13785;org.junit.tests.manipulation.FilterableTest$null;3;3;1;6;6;729;559;170;0;792;1442
14153;org.junit.tests.manipulation.SingleMethodTest$null;7;7;25;50;50;754;584;170;0;767;1492
14379;org.junit.tests.manipulation.SortableTest$null;9;7;18;25;25;772;602;170;0;749;1517
14438;org.junit.tests.running.classes.EnclosedTest$null;4;3;4;14;14;776;606;170;0;745;1531
14450;org.junit.tests.running.classes.IgnoreClassTest$null;1;0;4;6;6;780;610;170;0;741;1537
14519;org.junit.tests.running.classes.RunWithTest$null;3;2;7;12;12;787;615;172;0;734;1549
14915;org.junit.tests.running.classes.SuiteTest$null;10;8;31;54;54;818;644;174;0;703;1603
14958;org.junit.tests.running.classes.UseSuiteAsASuperclassTest$null;3;1;5;14;14;823;649;174;0;698;1617
14987;org.junit.tests.running.methods.ExpectedTest$null;4;3;4;10;10;827;649;178;0;694;1627
14996;org.junit.tests.running.methods.InheritedTestTest$null;2;1;1;3;3;828;650;178;0;693;1630
15138;org.junit.tests.running.methods.ParameterizedTestMethodTest$null;4;2;18;26;26;846;650;196;0;675;1656
15335;org.junit.tests.running.methods.TestMethodTest$null;5;5;27;35;35;873;677;196;0;648;1691
15366;org.junit.tests.validation.BadlyFormedClassesTest$null;4;5;2;8;8;875;677;198;0;646;1699
15386;org.junit.tests.validation.FailedConstructionTest$null;1;1;2;7;7;877;677;200;0;644;1706
15386;org.junit.tests.validation.InaccessibleBaseClassTest$null;2;2;0;0;0;877;677;200;0;644;1706
15401;org.junit.tests.validation.ValidationTest$null;2;2;2;4;4;879;677;202;0;642;1710
