CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
421;org.lunivore.tyburn.ComponentFinderBehaviour$null;29;76;20;24;24;20;8;12;0;202;24
20127;org.lunivore.tyburn.FocuserBehaviour$null;1060;188;18;57;58;38;11;25;2;184;81
20201;org.lunivore.tyburn.HeadlessCheckerBehaviour$null;13;2;1;7;8;39;12;25;2;183;88
20277;org.lunivore.tyburn.NamedComponentFilterBehaviour$null;8;4;2;8;8;41;13;26;2;181;96
20277;org.lunivore.tyburn.SpeedBehaviour$null;3;0;0;0;0;41;13;26;2;181;96
123954;org.lunivore.tyburn.WindowControlBehaviour$null;625;702;54;117;157;95;31;49;15;127;213
124228;org.lunivore.tyburn.actors.WindowGrabberBehaviour$null;112;120;0;3;17;95;31;49;15;127;216
124595;org.lunivore.tyburn.asciigrid.ImageToAsciiGridConverterBehaviour$null;25;4;52;62;66;147;59;73;15;75;278
124618;org.lunivore.tyburn.threaded.ClockedTimeouterBehaviour$null;9;1;1;3;7;148;60;73;15;74;281
130008;org.lunivore.tyburn.threaded.QueuedMiniHashMapBehaviour$null;616;608;7;10;17;155;66;73;16;67;291
132466;org.lunivore.tyburn.threaded.QueuedObjectHolderBehaviour$null;615;610;1;4;16;156;67;73;16;66;295
