CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
466;org.lunivore.tyburn.ComponentFinderBehaviour$null;28;110;20;24;24;20;8;12;0;201;24
10736;org.lunivore.tyburn.FocuserBehaviour$null;73;192;23;56;57;43;11;20;12;178;80
10795;org.lunivore.tyburn.HeadlessCheckerBehaviour$null;13;1;0;6;8;43;11;20;12;178;86
10826;org.lunivore.tyburn.NamedComponentFilterBehaviour$null;10;4;2;2;2;45;12;21;12;176;88
10826;org.lunivore.tyburn.SpeedBehaviour$null;4;0;0;0;0;45;12;21;12;176;88
242581;org.lunivore.tyburn.WindowControlBehaviour$null;669;635;94;113;157;139;23;26;90;82;201
242961;org.lunivore.tyburn.actors.WindowGrabberBehaviour$null;124;103;1;5;17;140;24;26;90;81;206
243329;org.lunivore.tyburn.asciigrid.ImageToAsciiGridConverterBehaviour$null;20;6;52;60;60;192;52;50;90;29;266
243329;org.lunivore.tyburn.threaded.ClockedTimeouterBehaviour$null;7;2;0;0;7;192;52;50;90;29;266
244579;org.lunivore.tyburn.threaded.QueuedMiniHashMapBehaviour$null;613;308;2;4;17;194;54;50;90;27;270
244579;org.lunivore.tyburn.threaded.QueuedObjectHolderBehaviour$null;617;611;0;0;16;194;54;50;90;27;270
