CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
560;org.apache.commons.io.ByteOrderMarkTestCase$null;5;2;61;98;98;61;40;21;0;5399;98
579;org.apache.commons.io.CharsetsTestCase$null;5;11;2;2;2;63;41;22;0;5397;100
6759;org.apache.commons.io.CopyUtilsTest$null;45;5;101;201;201;164;102;55;7;5296;301
12035;org.apache.commons.io.DemuxTestCase$null;176;165;8;33;54;172;110;55;7;5288;334
14143;org.apache.commons.io.DirectoryWalkerTestCase$null;29;27;75;126;126;247;169;71;7;5213;460
15015;org.apache.commons.io.DirectoryWalkerTestCaseJava4$null;18;12;0;51;126;247;169;71;7;5213;511
23194;org.apache.commons.io.EndianUtilsTest$null;6;3;917;1038;1038;1164;964;193;7;4296;1549
305300;org.apache.commons.io.FileCleanerTestCase$null;4272;4239;48;76;76;1212;987;211;14;4248;1625
425132;org.apache.commons.io.FileCleaningTrackerTestCase$null;4218;4181;0;28;76;1212;987;211;14;4248;1653
425303;org.apache.commons.io.FileDeleteStrategyTestCase$null;13;12;30;30;50;1242;1014;214;14;4218;1683
437763;org.apache.commons.io.FileSystemUtilsTestCase$null;20;14;208;459;473;1450;1069;365;16;4010;2142
437997;org.apache.commons.io.FileUtilsCleanDirectoryTestCase$null;20;32;2;9;39;1452;1069;367;16;4008;2151
438274;org.apache.commons.io.FileUtilsCleanSymlinksTestCase$null;38;30;1;8;40;1453;1070;367;16;4007;2159
438784;org.apache.commons.io.FileUtilsDirectoryContainsTestCase$null;23;19;10;30;63;1463;1079;368;16;3997;2189
438877;org.apache.commons.io.FileUtilsFileNewerTestCase$null;12;10;7;7;18;1470;1083;371;16;3990;2196
440155;org.apache.commons.io.FileUtilsListFilesTestCase$null;20;17;34;65;120;1504;1103;385;16;3956;2261
507570;org.apache.commons.io.FileUtilsWaitForTestCase$null;5319;5317;1;18;35;1505;1103;385;17;3955;2279
524362;org.apache.commons.io.FilenameUtilsTestCase$null;50;29;557;703;806;2062;1546;498;18;3398;2982
527861;org.apache.commons.io.FilenameUtilsWildcardTestCase$null;15;23;147;180;187;2209;1659;517;33;3251;3162
529788;org.apache.commons.io.HexDumpTest$null;10;14;127;211;276;2336;1739;562;35;3124;3373
529927;org.apache.commons.io.IOCaseTestCase$null;7;11;9;20;51;2345;1744;566;35;3115;3393
529935;org.apache.commons.io.IOExceptionWithCauseTestCase$null;1;0;2;3;3;2347;1746;566;35;3113;3396
564126;org.apache.commons.io.IOUtilsCopyTestCase$null;1060;62;55;173;260;2402;1779;582;41;3058;3569
584991;org.apache.commons.io.IOUtilsTestCase$null;36;45;225;410;549;2627;1866;691;70;2833;3979
587294;org.apache.commons.io.IOUtilsWriteTestCase$null;47;13;45;107;201;2672;1888;714;70;2788;4086
588218;org.apache.commons.io.LineIteratorTestCase$null;18;28;24;44;83;2696;1897;729;70;2764;4130
588240;org.apache.commons.io.TaggedIOExceptionTest$null;3;1;3;9;10;2699;1900;729;70;2761;4139
591192;org.apache.commons.io.ThreadMonitorTestCase$null;403;402;7;11;12;2706;1907;729;70;2754;4150
592435;org.apache.commons.io.comparator.CompositeFileComparatorTest$null;22;14;38;73;120;2744;1934;740;70;2716;4223
592454;org.apache.commons.io.comparator.DefaultFileComparatorTest$null;11;8;0;1;22;2744;1934;740;70;2716;4224
592602;org.apache.commons.io.comparator.DirectoryFileComparatorTest$null;11;8;8;11;30;2752;1942;740;70;2708;4235
592707;org.apache.commons.io.comparator.ExtensionFileComparatorTest$null;12;9;1;9;48;2753;1942;741;70;2707;4244
682307;org.apache.commons.io.comparator.LastModifiedFileComparatorTest$null;13835;12925;17;21;54;2770;1959;741;70;2690;4265
682400;org.apache.commons.io.comparator.NameFileComparatorTest$null;26;17;1;7;31;2771;1959;742;70;2689;4272
682489;org.apache.commons.io.comparator.PathFileComparatorTest$null;11;10;1;7;31;2772;1959;743;70;2688;4279
683135;org.apache.commons.io.comparator.SizeFileComparatorTest$null;17;15;16;38;89;2788;1974;744;70;2672;4317
683217;org.apache.commons.io.filefilter.AndFileFilterTestCase$null;6;2;9;10;16;2797;1983;744;70;2663;4327
1374594;org.apache.commons.io.filefilter.FileFilterTestCase$null;2047;2041;181;354;591;2978;2101;807;70;2482;4681
1374594;org.apache.commons.io.filefilter.OrFileFilterTestCase$null;8;1;0;0;14;2978;2101;807;70;2482;4681
1374754;org.apache.commons.io.filefilter.RegexFileFilterTestCase$null;11;9;5;11;30;2983;2103;810;70;2477;4692
1374870;org.apache.commons.io.input.AutoCloseInputStreamTest$null;2;1;18;27;27;3001;2121;810;70;2459;4719
1376750;org.apache.commons.io.input.BoundedInputStreamTest$null;6;4;37;106;199;3038;2143;816;79;2422;4825
1376751;org.apache.commons.io.input.BrokenInputStreamTest$null;2;1;0;0;0;3038;2143;816;79;2422;4825
1378915;org.apache.commons.io.input.CharSequenceInputStreamTest$null;13;20;69;103;103;3107;2182;832;93;2353;4928
1379259;org.apache.commons.io.input.CharSequenceReaderTest$null;5;3;49;77;77;3156;2213;850;93;2304;5005
1379293;org.apache.commons.io.input.ClassLoaderObjectInputStreamTest$null;4;2;4;8;8;3160;2213;854;93;2300;5013
1379309;org.apache.commons.io.input.CloseShieldInputStreamTest$null;2;1;0;4;13;3160;2213;854;93;2300;5017
1379309;org.apache.commons.io.input.ClosedInputStreamTest$null;2;0;0;0;2;3160;2213;854;93;2300;5017
1380846;org.apache.commons.io.input.CountingInputStreamTest$null;610;41;13;42;80;3173;2224;856;93;2287;5059
1381133;org.apache.commons.io.input.NullInputStreamTest$null;3;1;53;72;84;3226;2264;869;93;2234;5131
1381355;org.apache.commons.io.input.NullReaderTest$null;3;1;44;58;70;3270;2297;880;93;2190;5189
1381417;org.apache.commons.io.input.ProxyReaderTest$null;3;1;2;14;26;3272;2299;880;93;2188;5203
1383600;org.apache.commons.io.input.ReaderInputStreamTest$null;9;9;76;104;104;3348;2339;901;108;2112;5307
1384009;org.apache.commons.io.input.SwappedDataInputStreamTest$null;5;4;22;49;277;3370;2348;914;108;2090;5356
1384099;org.apache.commons.io.input.TaggedInputStreamTest$null;3;1;10;20;37;3380;2354;918;108;2080;5376
1613691;org.apache.commons.io.input.TailerTest$null;15428;14823;88;97;139;3468;2363;996;109;1992;5473
1613775;org.apache.commons.io.input.TeeInputStreamTest$null;7;1;30;30;41;3498;2363;1026;109;1962;5503
1617414;org.apache.commons.io.input.XmlStreamReaderTest$null;143;209;494;494;535;3992;2363;1520;109;1468;5997
1617434;org.apache.commons.io.input.XmlStreamReaderUtilitiesTest$null;18;16;4;4;388;3996;2363;1524;109;1464;6001
1617435;org.apache.commons.io.input.compatibility.XmlStreamReaderUtilitiesCompatibilityTest$null;13;16;0;0;212;3996;2363;1524;109;1464;6001
1617821;org.apache.commons.io.monitor.FileAlterationMonitorTestCase$null;1018;1017;178;178;238;4174;2363;1702;109;1286;6179
1617912;org.apache.commons.io.monitor.FileAlterationObserverTestCase$null;13671;13582;29;29;265;4203;2363;1731;109;1257;6208
1617912;org.apache.commons.io.output.BrokenOutputStreamTest$null;4;0;0;0;0;4203;2363;1731;109;1257;6208
1618238;org.apache.commons.io.output.ByteArrayOutputStreamTestCase$null;7;3;25;77;188;4228;2379;1740;109;1232;6285
1618276;org.apache.commons.io.output.CloseShieldOutputStreamTest$null;8;2;14;14;54;4242;2379;1754;109;1218;6299
1618276;org.apache.commons.io.output.ClosedOutputStreamTest$null;4;0;0;0;0;4242;2379;1754;109;1218;6299
1618358;org.apache.commons.io.output.CountingOutputStreamTest$null;482;41;27;27;68;4269;2379;1781;109;1191;6326
1618645;org.apache.commons.io.output.DeferredFileOutputStreamTest$null;7;5;72;72;192;4341;2379;1853;109;1119;6398
1618674;org.apache.commons.io.output.FileWriterWithEncodingTest$null;14;12;13;13;46;4354;2379;1866;109;1106;6411
1618739;org.apache.commons.io.output.LockableFileWriterTest$null;19;15;16;16;29;4370;2379;1882;109;1090;6427
1618739;org.apache.commons.io.output.NullOutputStreamTest$null;2;0;0;0;0;4370;2379;1882;109;1090;6427
1618739;org.apache.commons.io.output.NullWriterTest$null;1;1;0;0;0;4370;2379;1882;109;1090;6427
1618745;org.apache.commons.io.output.ProxyOutputStreamTest$null;3;1;0;2;62;4370;2379;1882;109;1090;6429
1618830;org.apache.commons.io.output.ProxyWriterTest$null;3;1;9;25;29;4379;2388;1882;109;1081;6454
1618841;org.apache.commons.io.output.StringBuilderWriterTest$null;2;1;3;3;8;4382;2390;1883;109;1078;6457
1618867;org.apache.commons.io.output.TaggedOutputStreamTest$null;4;1;8;8;163;4390;2390;1891;109;1070;6465
1618907;org.apache.commons.io.output.TeeOutputStreamTest$null;2;0;10;10;27;4400;2390;1901;109;1060;6475
1620318;org.apache.commons.io.output.WriterOutputStreamTest$null;19;14;34;46;46;4434;2408;1910;116;1026;6521
1620545;org.apache.commons.io.output.XmlStreamWriterTest$null;7;8;46;46;197;4480;2408;1956;116;980;6567
