CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
598;org.apache.commons.io.ByteOrderMarkTestCase$null;5;2;61;98;98;61;40;21;0;5399;98
617;org.apache.commons.io.CharsetsTestCase$null;4;8;2;2;2;63;41;22;0;5397;100
6925;org.apache.commons.io.CopyUtilsTest$null;49;3;101;201;201;164;102;56;6;5296;301
12187;org.apache.commons.io.DemuxTestCase$null;187;179;8;33;54;172;110;56;6;5288;334
14251;org.apache.commons.io.DirectoryWalkerTestCase$null;30;19;75;126;126;247;169;72;6;5213;460
15162;org.apache.commons.io.DirectoryWalkerTestCaseJava4$null;20;16;0;51;126;247;169;72;6;5213;511
23289;org.apache.commons.io.EndianUtilsTest$null;7;4;917;1038;1038;1164;963;195;6;4296;1549
306104;org.apache.commons.io.FileCleanerTestCase$null;4260;4243;48;76;76;1212;986;213;13;4248;1625
425622;org.apache.commons.io.FileCleaningTrackerTestCase$null;4216;4194;0;28;76;1212;986;213;13;4248;1653
425781;org.apache.commons.io.FileDeleteStrategyTestCase$null;16;18;30;30;50;1242;1013;216;13;4218;1683
434553;org.apache.commons.io.FileSystemUtilsTestCase$null;19;27;208;459;473;1450;1069;366;15;4010;2142
434778;org.apache.commons.io.FileUtilsCleanDirectoryTestCase$null;22;17;2;9;39;1452;1069;368;15;4008;2151
435027;org.apache.commons.io.FileUtilsCleanSymlinksTestCase$null;37;28;1;8;40;1453;1070;368;15;4007;2159
435543;org.apache.commons.io.FileUtilsDirectoryContainsTestCase$null;28;21;10;30;63;1463;1079;369;15;3997;2189
435611;org.apache.commons.io.FileUtilsFileNewerTestCase$null;11;9;7;7;18;1470;1083;372;15;3990;2196
436886;org.apache.commons.io.FileUtilsListFilesTestCase$null;20;18;34;65;120;1504;1103;386;15;3956;2261
504261;org.apache.commons.io.FileUtilsWaitForTestCase$null;5317;5316;1;18;35;1505;1103;386;16;3955;2279
521065;org.apache.commons.io.FilenameUtilsTestCase$null;45;30;557;703;806;2062;1548;497;17;3398;2982
524315;org.apache.commons.io.FilenameUtilsWildcardTestCase$null;15;20;147;180;187;2209;1662;515;32;3251;3162
526244;org.apache.commons.io.HexDumpTest$null;9;14;127;211;276;2336;1742;560;34;3124;3373
526414;org.apache.commons.io.IOCaseTestCase$null;7;8;9;20;51;2345;1747;564;34;3115;3393
526421;org.apache.commons.io.IOExceptionWithCauseTestCase$null;1;1;2;3;3;2347;1749;564;34;3113;3396
561267;org.apache.commons.io.IOUtilsCopyTestCase$null;1033;60;55;173;260;2402;1782;580;40;3058;3569
581440;org.apache.commons.io.IOUtilsTestCase$null;34;42;225;410;549;2627;1870;688;69;2833;3979
583755;org.apache.commons.io.IOUtilsWriteTestCase$null;47;12;45;107;201;2672;1892;711;69;2788;4086
584581;org.apache.commons.io.LineIteratorTestCase$null;19;28;24;44;83;2696;1901;726;69;2764;4130
584605;org.apache.commons.io.TaggedIOExceptionTest$null;2;1;3;9;10;2699;1904;726;69;2761;4139
588047;org.apache.commons.io.ThreadMonitorTestCase$null;403;401;8;11;12;2707;1912;726;69;2753;4150
589309;org.apache.commons.io.comparator.CompositeFileComparatorTest$null;24;15;38;73;120;2745;1939;737;69;2715;4223
589328;org.apache.commons.io.comparator.DefaultFileComparatorTest$null;11;8;0;1;22;2745;1939;737;69;2715;4224
589472;org.apache.commons.io.comparator.DirectoryFileComparatorTest$null;11;9;8;11;30;2753;1947;737;69;2707;4235
589588;org.apache.commons.io.comparator.ExtensionFileComparatorTest$null;11;10;1;9;48;2754;1947;738;69;2706;4244
679482;org.apache.commons.io.comparator.LastModifiedFileComparatorTest$null;14128;13829;17;21;54;2771;1964;738;69;2689;4265
679581;org.apache.commons.io.comparator.NameFileComparatorTest$null;18;12;1;7;31;2772;1964;739;69;2688;4272
679658;org.apache.commons.io.comparator.PathFileComparatorTest$null;12;10;1;7;31;2773;1964;740;69;2687;4279
680269;org.apache.commons.io.comparator.SizeFileComparatorTest$null;16;14;16;38;89;2789;1979;741;69;2671;4317
680348;org.apache.commons.io.filefilter.AndFileFilterTestCase$null;5;1;9;10;16;2798;1988;741;69;2662;4327
1045283;org.apache.commons.io.filefilter.FileFilterTestCase$null;2044;2041;181;354;591;2979;2106;804;69;2481;4681
1045283;org.apache.commons.io.filefilter.OrFileFilterTestCase$null;5;1;0;0;14;2979;2106;804;69;2481;4681
1045413;org.apache.commons.io.filefilter.RegexFileFilterTestCase$null;10;9;5;11;30;2984;2108;807;69;2476;4692
1045523;org.apache.commons.io.input.AutoCloseInputStreamTest$null;3;1;18;27;27;3002;2126;807;69;2458;4719
1047342;org.apache.commons.io.input.BoundedInputStreamTest$null;6;4;37;106;199;3039;2148;813;78;2421;4825
1047342;org.apache.commons.io.input.BrokenInputStreamTest$null;1;0;0;0;0;3039;2148;813;78;2421;4825
1049585;org.apache.commons.io.input.CharSequenceInputStreamTest$null;14;16;69;103;103;3108;2188;828;92;2352;4928
1049944;org.apache.commons.io.input.CharSequenceReaderTest$null;5;3;49;77;77;3157;2221;844;92;2303;5005
1049976;org.apache.commons.io.input.ClassLoaderObjectInputStreamTest$null;3;2;4;8;8;3161;2221;848;92;2299;5013
1049992;org.apache.commons.io.input.CloseShieldInputStreamTest$null;2;0;0;4;13;3161;2221;848;92;2299;5017
1049993;org.apache.commons.io.input.ClosedInputStreamTest$null;2;0;0;0;2;3161;2221;848;92;2299;5017
1051562;org.apache.commons.io.input.CountingInputStreamTest$null;571;39;13;42;79;3174;2232;850;92;2286;5059
1051895;org.apache.commons.io.input.NullInputStreamTest$null;3;1;53;72;84;3227;2272;863;92;2233;5131
1052117;org.apache.commons.io.input.NullReaderTest$null;2;1;44;58;70;3271;2305;874;92;2189;5189
1052170;org.apache.commons.io.input.ProxyReaderTest$null;3;1;2;14;26;3273;2307;874;92;2187;5203
1054651;org.apache.commons.io.input.ReaderInputStreamTest$null;9;8;76;104;104;3349;2342;895;112;2111;5307
1055003;org.apache.commons.io.input.SwappedDataInputStreamTest$null;5;4;22;49;277;3371;2351;908;112;2089;5356
1055107;org.apache.commons.io.input.TaggedInputStreamTest$null;3;0;10;20;37;3381;2357;912;112;2079;5376
1258169;org.apache.commons.io.input.TailerTest$null;15254;14855;84;97;139;3465;2363;990;112;1995;5473
1258258;org.apache.commons.io.input.TeeInputStreamTest$null;5;2;30;30;41;3495;2363;1020;112;1965;5503
1262701;org.apache.commons.io.input.XmlStreamReaderTest$null;132;201;494;494;535;3989;2363;1514;112;1471;5997
1262726;org.apache.commons.io.input.XmlStreamReaderUtilitiesTest$null;18;16;4;4;388;3993;2363;1518;112;1467;6001
1262726;org.apache.commons.io.input.compatibility.XmlStreamReaderUtilitiesCompatibilityTest$null;14;13;0;0;212;3993;2363;1518;112;1467;6001
1263160;org.apache.commons.io.monitor.FileAlterationMonitorTestCase$null;1120;714;178;178;238;4171;2363;1696;112;1289;6179
1263224;org.apache.commons.io.monitor.FileAlterationObserverTestCase$null;13562;13853;29;29;265;4200;2363;1725;112;1260;6208
1263224;org.apache.commons.io.output.BrokenOutputStreamTest$null;4;0;0;0;0;4200;2363;1725;112;1260;6208
1263617;org.apache.commons.io.output.ByteArrayOutputStreamTestCase$null;5;2;25;77;188;4225;2379;1734;112;1235;6285
1263663;org.apache.commons.io.output.CloseShieldOutputStreamTest$null;4;3;14;14;54;4239;2379;1748;112;1221;6299
1263663;org.apache.commons.io.output.ClosedOutputStreamTest$null;1;0;0;0;0;4239;2379;1748;112;1221;6299
1263744;org.apache.commons.io.output.CountingOutputStreamTest$null;466;36;27;27;68;4266;2379;1775;112;1194;6326
1264013;org.apache.commons.io.output.DeferredFileOutputStreamTest$null;7;5;72;72;192;4338;2379;1847;112;1122;6398
1264042;org.apache.commons.io.output.FileWriterWithEncodingTest$null;13;12;13;13;46;4351;2379;1860;112;1109;6411
1264079;org.apache.commons.io.output.LockableFileWriterTest$null;11;10;16;16;29;4367;2379;1876;112;1093;6427
1264079;org.apache.commons.io.output.NullOutputStreamTest$null;2;0;0;0;0;4367;2379;1876;112;1093;6427
1264080;org.apache.commons.io.output.NullWriterTest$null;1;1;0;0;0;4367;2379;1876;112;1093;6427
1264204;org.apache.commons.io.output.ProxyOutputStreamTest$null;3;1;0;2;62;4367;2379;1876;112;1093;6429
1264319;org.apache.commons.io.output.ProxyWriterTest$null;3;0;9;25;29;4377;2388;1876;113;1083;6454
1264328;org.apache.commons.io.output.StringBuilderWriterTest$null;2;1;3;3;8;4380;2390;1877;113;1080;6457
1264352;org.apache.commons.io.output.TaggedOutputStreamTest$null;4;2;8;8;163;4388;2390;1885;113;1072;6465
1264387;org.apache.commons.io.output.TeeOutputStreamTest$null;3;1;10;10;27;4398;2390;1895;113;1062;6475
1265740;org.apache.commons.io.output.WriterOutputStreamTest$null;19;13;34;46;46;4432;2408;1904;120;1028;6521
1265970;org.apache.commons.io.output.XmlStreamWriterTest$null;7;8;46;46;197;4478;2408;1950;120;982;6567
