CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
566;org.jaxen.test.AncestorOrSelfAxisIteratorTest$null;53;79;4;6;6;4;0;4;0;5025;6
255903;org.jaxen.test.ArithmeticTest$null;120;137;365;2527;2527;369;37;300;32;4660;2533
255907;org.jaxen.test.AxisTest$null;3;0;0;1;1;369;37;300;32;4660;2534
792640;org.jaxen.test.BaseXPathTest$null;205;202;794;3302;3644;1163;304;816;43;3866;5836
870996;org.jaxen.test.BinaryExprTest$null;46;40;12;2017;2407;1175;305;827;43;3854;7853
1077711;org.jaxen.test.BooleanTest$null;101;108;13;2109;2761;1188;311;834;43;3841;9962
1259152;org.jaxen.test.CeilingTest$null;92;98;17;2035;2444;1205;321;841;43;3824;11997
1427732;org.jaxen.test.ConcatTest$null;86;95;4;1966;2324;1209;324;842;43;3820;13963
1610077;org.jaxen.test.ContainsTest$null;93;101;8;2010;2429;1217;331;843;43;3812;15973
1815194;org.jaxen.test.ContextTest$null;99;114;13;1996;2486;1230;337;843;50;3799;17969
2021518;org.jaxen.test.CountTest$null;102;130;6;2052;2583;1236;342;844;50;3793;20021
2199565;org.jaxen.test.DOM3NamespaceTest$null;93;96;14;2001;2452;1250;352;848;50;3779;22022
4572908;org.jaxen.test.DOM4JNavigatorTest$null;1431;890;531;3085;4124;1781;579;1143;59;3248;25107
4786307;org.jaxen.test.DOM4JXPathTest$null;112;113;2;2038;2738;1783;581;1143;59;3246;27145
6939484;org.jaxen.test.DOMNavigatorTest$null;1628;840;44;2610;4229;1827;621;1147;59;3202;29755
7242411;org.jaxen.test.DOMXPathTest$null;192;139;37;2264;3462;1864;630;1175;59;3165;32019
7415556;org.jaxen.test.DefaultNamestepTest$null;94;86;5;1971;2634;1869;631;1179;59;3160;33990
7586651;org.jaxen.test.DefaultXPathExprTest$null;87;84;0;1944;2534;1869;631;1179;59;3160;35934
7586777;org.jaxen.test.DefaultXPathFactoryTest$null;7;5;0;12;13;1869;631;1179;59;3160;35946
7587065;org.jaxen.test.DescendantAxisIteratorTest$null;52;59;0;5;28;1869;631;1179;59;3160;35951
7790582;org.jaxen.test.EqualsTest$null;101;98;3;2019;2764;1872;631;1181;60;3157;37970
7968891;org.jaxen.test.ExtensionFunctionTest$null;89;85;10;1980;2676;1882;631;1191;60;3147;39950
8129367;org.jaxen.test.FalseTest$null;82;79;1;1903;2338;1883;632;1191;60;3146;41853
8298831;org.jaxen.test.FloorTest$null;89;84;8;1956;2444;1891;633;1198;60;3138;43809
8299051;org.jaxen.test.FollowingAxisIteratorTest$null;52;52;0;4;18;1891;633;1198;60;3138;43813
8299102;org.jaxen.test.FollowingSiblingAxisIteratorTest$null;54;51;1;1;5;1892;633;1199;60;3137;43814
8299182;org.jaxen.test.FunctionCallExceptionTest$null;3;1;2;17;19;1894;635;1199;60;3135;43831
8480345;org.jaxen.test.FunctionContextTest$null;90;90;8;1909;2404;1902;636;1200;66;3127;45740
8695922;org.jaxen.test.IdTest$null;108;108;7;1984;2713;1909;642;1201;66;3120;47724
8695923;org.jaxen.test.IterableAxisTest$null;3;0;0;0;0;1909;642;1201;66;3120;47724
10759492;org.jaxen.test.JDOMNavigatorTest$null;1447;854;27;2573;4150;1936;666;1204;66;3093;50297
10952662;org.jaxen.test.JDOMXPathTest$null;101;104;210;1975;2600;2146;876;1204;66;2883;52272
11026624;org.jaxen.test.JavaBeanNavigatorTest$null;40;38;18;1801;2678;2164;887;1211;66;2865;54073
11026749;org.jaxen.test.JaxenExceptionTest$null;3;2;1;25;28;2165;888;1211;66;2864;54098
11097048;org.jaxen.test.JaxenHandlerTest$null;52;33;6;1859;2817;2171;892;1213;66;2858;55957
11097219;org.jaxen.test.JaxenRuntimeExceptionTest$null;4;1;4;28;29;2175;894;1215;66;2854;55985
11275251;org.jaxen.test.LangTest$null;129;126;7;1823;2916;2182;898;1218;66;2847;57808
11438747;org.jaxen.test.LastTest$null;90;90;1;1796;2780;2183;899;1218;66;2846;59604
11491333;org.jaxen.test.LiteralExprTest$null;30;25;4;1710;2473;2187;903;1218;66;2842;61314
11692760;org.jaxen.test.LocalNameTest$null;113;108;15;1835;2921;2202;912;1224;66;2827;63149
11830123;org.jaxen.test.ModTest$null;83;82;0;1654;2217;2202;912;1224;66;2827;64803
12030751;org.jaxen.test.NameTest$null;113;115;8;1828;2913;2210;916;1228;66;2819;66631
12196315;org.jaxen.test.NamespaceTest$null;95;91;1;1765;2664;2211;917;1228;66;2818;68396
12397505;org.jaxen.test.NamespaceURITest$null;114;114;19;1823;2867;2230;927;1237;66;2799;70219
12570536;org.jaxen.test.NodesetEqualityTest$null;101;94;3;1807;2829;2233;930;1237;66;2796;72026
12716715;org.jaxen.test.NormalizeSpaceTest$null;85;78;4;1729;2505;2237;932;1239;66;2792;73755
12864368;org.jaxen.test.NotTest$null;86;79;2;1724;2436;2239;933;1240;66;2790;75479
13026880;org.jaxen.test.NumberTest$null;92;89;7;1786;2761;2246;936;1244;66;2783;77265
13085842;org.jaxen.test.PatternHandlerTest$null;37;26;16;1793;2507;2262;936;1259;67;2767;79058
13224232;org.jaxen.test.PositionTest$null;82;76;1;1679;2313;2263;937;1259;67;2766;80737
13224232;org.jaxen.test.PrecedingAxisIteratorTest$null;53;50;0;0;14;2263;937;1259;67;2766;80737
13224232;org.jaxen.test.PrecedingSiblingAxisIteratorTest$null;54;49;0;0;8;2263;937;1259;67;2766;80737
13279643;org.jaxen.test.PriorityTest$null;32;26;39;1758;2481;2302;974;1261;67;2727;82495
13328162;org.jaxen.test.ProcessingInstructionNodeTest$null;26;22;6;1673;2336;2308;979;1262;67;2721;84168
13478068;org.jaxen.test.RoundTest$null;88;81;9;1743;2448;2317;981;1269;67;2712;85911
13478145;org.jaxen.test.SAXPathExceptionTest$null;3;0;0;18;22;2317;981;1269;67;2712;85929
13478924;org.jaxen.test.SimpleNamespaceContextTest$null;56;52;5;15;38;2322;986;1269;67;2707;85944
13478960;org.jaxen.test.SimpleVariableContextTest$null;5;4;0;6;10;2322;986;1269;67;2707;85950
13478964;org.jaxen.test.SingleObjectIteratorTest$null;3;0;1;1;4;2323;987;1269;67;2706;85951
13478972;org.jaxen.test.SingletonListTest$null;2;0;1;2;5;2324;988;1269;67;2705;85953
13627474;org.jaxen.test.StartsWithTest$null;90;81;10;1714;2424;2334;991;1276;67;2695;87667
13779308;org.jaxen.test.StringLengthTest$null;89;109;30;1756;2510;2364;999;1298;67;2665;89423
13955254;org.jaxen.test.StringTest$null;100;90;15;1834;2951;2379;1010;1302;67;2650;91257
14104511;org.jaxen.test.SubstringAfterTest$null;91;80;19;1708;2433;2398;1020;1311;67;2631;92965
14253562;org.jaxen.test.SubstringBeforeTest$null;92;81;15;1705;2431;2413;1024;1322;67;2616;94670
14420110;org.jaxen.test.SubstringTest$null;112;86;30;1789;2634;2443;1042;1334;67;2586;96459
14559245;org.jaxen.test.SumTest$null;82;74;1;1668;2317;2444;1042;1335;67;2585;98127
14715487;org.jaxen.test.TranslateFunctionTest$null;125;83;33;1735;2496;2477;1057;1353;67;2552;99862
14853582;org.jaxen.test.TrueTest$null;81;77;1;1668;2313;2478;1058;1353;67;2551;101530
15010582;org.jaxen.test.UnresolvableExceptionTest$null;89;82;1;1767;2698;2479;1059;1353;67;2550;103297
15010643;org.jaxen.test.UnsupportedAxisExceptionTest$null;3;1;0;12;13;2479;1059;1353;67;2550;103309
15154820;org.jaxen.test.VariableContextTest$null;87;80;1;1662;2329;2480;1060;1353;67;2549;104971
16889806;org.jaxen.test.XOMNavigatorTest$null;1464;787;29;2259;4129;2509;1076;1366;67;2520;107230
17030941;org.jaxen.test.XOMXPathTest$null;85;84;0;1674;2407;2509;1076;1366;67;2520;108904
17031089;org.jaxen.test.XPathReaderFactoryTest$null;6;3;2;14;24;2511;1078;1366;67;2518;108918
17260549;org.jaxen.test.XPathReaderTest$null;129;115;16;1944;3210;2527;1089;1371;67;2502;110862
17261739;org.jaxen.test.XPathSyntaxExceptionTest$null;17;14;8;54;175;2535;1097;1371;67;2494;110916
17319586;org.jaxen.test.testAddNamespaceTest$null;35;31;0;1609;2213;2535;1097;1371;67;2494;112525
