CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.lavalamp.AptTest$null;4;7;0;0;0;0;0;0;0;246;0
7;net.sf.lavalamp.PauseTest$null;105;101;1;1;1;1;1;0;0;245;1
2668;net.sf.lavalamp.application.AlwaysOffTest$null;141;162;2;12;12;3;2;0;1;243;13
3151;net.sf.lavalamp.application.ApplicationPropertiesTest$null;37;62;0;10;10;3;2;0;1;243;23
3595;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;40;66;0;10;10;3;2;0;1;243;33
5315;net.sf.lavalamp.application.BuildStatusServletTest$null;168;253;1;11;11;4;3;0;1;242;44
9163;net.sf.lavalamp.application.UniversalRunnerTest$null;168;174;9;24;24;13;8;4;1;233;68
11112;net.sf.lavalamp.device.BlinkTest$null;196;151;14;17;17;27;22;4;1;219;85
11112;net.sf.lavalamp.device.CrashTest$null;16;1;0;0;0;27;22;4;1;219;85
13849;net.sf.lavalamp.device.DeviceControllerTest$null;182;201;11;17;19;38;30;7;1;208;102
14137;net.sf.lavalamp.device.DeviceFactoryTest$null;13;7;8;24;24;46;30;15;1;200;126
14831;net.sf.lavalamp.device.DevicePropertiesTest$null;77;59;4;10;10;50;34;15;1;196;136
15195;net.sf.lavalamp.device.PeriodTest$null;10;2;23;52;52;73;57;15;1;173;188
15195;net.sf.lavalamp.device.StatusQuoTest$null;94;130;0;0;0;73;57;15;1;173;188
15294;net.sf.lavalamp.device.TimeOfDayTest$null;6;4;7;18;26;80;63;16;1;166;206
17160;net.sf.lavalamp.device.impl.TellStickJniTest$null;114;123;0;16;23;80;63;16;1;166;222
24274;net.sf.lavalamp.device.impl.TellStickTest$null;191;153;22;50;81;102;84;17;1;144;272
24535;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;14;12;6;17;33;108;86;21;1;138;289
24535;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;5;3;0;0;0;108;86;21;1;138;289
24733;net.sf.lavalamp.site.BuildPropertiesTest$null;29;40;2;5;10;110;88;21;1;136;294
26358;net.sf.lavalamp.site.BuildsCheckerTest$null;117;124;3;12;13;113;91;21;1;133;306
27104;net.sf.lavalamp.site.BuildsTest$null;132;120;1;6;8;114;92;21;1;132;312
27115;net.sf.lavalamp.site.DummyRemoteGetterTest$null;6;2;2;2;2;116;94;21;1;130;314
27125;net.sf.lavalamp.site.DummyRestGetterTest$null;4;2;2;2;2;118;95;22;1;128;316
27125;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;2;0;0;0;118;95;22;1;128;316
27143;net.sf.lavalamp.site.SiteFactoryTest$null;12;10;0;2;3;118;95;22;1;128;318
68889;net.sf.lavalamp.site.UrlGetterTest$null;435;446;27;35;35;145;99;43;3;101;353
74858;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;132;152;3;5;6;148;99;44;5;98;358
82879;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;102;155;7;7;9;155;99;48;8;91;365
88513;net.sf.lavalamp.site.impl.BambooRestApiTest$null;131;137;6;5;11;161;99;51;11;85;370
99344;net.sf.lavalamp.site.impl.BambooSiteTest$null;149;122;10;10;19;171;99;60;12;75;380
106293;net.sf.lavalamp.site.impl.HudsonTest$null;134;141;5;6;11;176;99;62;15;70;386
