CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.lavalamp.AptTest$null;4;7;0;0;0;0;0;0;0;246;0
9;net.sf.lavalamp.PauseTest$null;104;104;1;1;1;1;1;0;0;245;1
2730;net.sf.lavalamp.application.AlwaysOffTest$null;131;173;2;12;12;3;2;0;1;243;13
3190;net.sf.lavalamp.application.ApplicationPropertiesTest$null;39;53;0;10;10;3;2;0;1;243;23
3627;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;52;78;0;10;10;3;2;0;1;243;33
5353;net.sf.lavalamp.application.BuildStatusServletTest$null;182;227;1;11;11;4;3;0;1;242;44
9060;net.sf.lavalamp.application.UniversalRunnerTest$null;151;183;9;24;24;13;7;5;1;233;68
11098;net.sf.lavalamp.device.BlinkTest$null;155;161;14;17;17;27;21;5;1;219;85
11098;net.sf.lavalamp.device.CrashTest$null;6;1;0;0;0;27;21;5;1;219;85
13788;net.sf.lavalamp.device.DeviceControllerTest$null;184;197;11;17;19;38;29;8;1;208;102
14078;net.sf.lavalamp.device.DeviceFactoryTest$null;10;10;8;24;24;46;29;16;1;200;126
14759;net.sf.lavalamp.device.DevicePropertiesTest$null;67;64;4;10;10;50;33;16;1;196;136
15089;net.sf.lavalamp.device.PeriodTest$null;7;4;23;52;52;73;56;16;1;173;188
15089;net.sf.lavalamp.device.StatusQuoTest$null;96;122;0;0;0;73;56;16;1;173;188
15217;net.sf.lavalamp.device.TimeOfDayTest$null;7;5;7;18;26;80;62;17;1;166;206
17061;net.sf.lavalamp.device.impl.TellStickJniTest$null;142;117;0;16;23;80;62;17;1;166;222
24086;net.sf.lavalamp.device.impl.TellStickTest$null;128;165;22;50;81;102;83;18;1;144;272
24351;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;15;12;6;17;33;108;85;22;1;138;289
24351;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;5;3;0;0;0;108;85;22;1;138;289
24522;net.sf.lavalamp.site.BuildPropertiesTest$null;34;38;2;5;10;110;87;22;1;136;294
26060;net.sf.lavalamp.site.BuildsCheckerTest$null;122;110;3;12;13;113;90;22;1;133;306
26752;net.sf.lavalamp.site.BuildsTest$null;106;103;1;6;8;114;91;22;1;132;312
26768;net.sf.lavalamp.site.DummyRemoteGetterTest$null;5;1;2;2;2;116;93;22;1;130;314
26781;net.sf.lavalamp.site.DummyRestGetterTest$null;6;1;2;2;2;118;94;23;1;128;316
26781;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;1;0;0;0;118;94;23;1;128;316
26807;net.sf.lavalamp.site.SiteFactoryTest$null;9;7;0;2;3;118;94;23;1;128;318
86157;net.sf.lavalamp.site.UrlGetterTest$null;344;457;26;35;35;144;98;44;2;102;353
93585;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;149;119;5;5;6;149;98;46;5;97;358
100525;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;133;176;6;6;9;155;98;48;9;91;364
106382;net.sf.lavalamp.site.impl.BambooRestApiTest$null;124;116;5;5;11;160;98;49;13;86;369
117881;net.sf.lavalamp.site.impl.BambooSiteTest$null;158;142;11;10;19;171;98;59;14;75;379
124580;net.sf.lavalamp.site.impl.HudsonTest$null;129;119;5;6;11;176;98;61;17;70;385
