CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
0;net.sf.lavalamp.AptTest$null;6;7;0;0;0;0;0;0;0;277;0
11;net.sf.lavalamp.PauseTest$null;105;101;1;1;1;1;1;0;0;276;1
2486;net.sf.lavalamp.application.AlwaysOffTest$null;141;122;2;12;12;3;2;0;1;274;13
2774;net.sf.lavalamp.application.ApplicationPropertiesTest$null;45;39;0;10;10;3;2;0;1;274;23
3172;net.sf.lavalamp.application.ApplicationPropertiesWebTest$null;35;52;0;10;10;3;2;0;1;274;33
4612;net.sf.lavalamp.application.BuildStatusServletTest$null;123;193;1;11;11;4;3;0;1;273;44
8473;net.sf.lavalamp.application.UniversalRunnerTest$null;120;176;9;31;32;13;8;4;1;264;75
236981;net.sf.lavalamp.application.WebRunTest$null;278;352;118;161;164;131;17;103;11;146;236
252357;net.sf.lavalamp.device.BlinkTest$null;87;107;13;13;17;144;17;111;16;133;249
252357;net.sf.lavalamp.device.CrashTest$null;3;2;0;0;0;144;17;111;16;133;249
267033;net.sf.lavalamp.device.DeviceControllerTest$null;140;159;13;13;32;157;17;120;20;120;262
267033;net.sf.lavalamp.device.DeviceFactoryTest$null;11;6;0;0;24;157;17;120;20;120;262
267034;net.sf.lavalamp.device.DevicePropertiesTest$null;52;55;0;0;10;157;17;120;20;120;262
267927;net.sf.lavalamp.device.PeriodTest$null;5;3;12;23;52;169;27;120;22;108;285
267927;net.sf.lavalamp.device.StatusQuoTest$null;72;116;0;0;0;169;27;120;22;108;285
268346;net.sf.lavalamp.device.TimeOfDayTest$null;7;5;7;14;26;176;33;120;23;101;299
271475;net.sf.lavalamp.device.impl.TellStickJniTest$null;81;124;1;2;23;177;33;120;24;100;301
294552;net.sf.lavalamp.device.impl.TellStickTest$null;105;110;18;18;81;195;33;121;41;82;319
294553;net.sf.lavalamp.factories.DeviceBuildsFactoryTest$null;11;8;0;0;33;195;33;121;41;82;319
294553;net.sf.lavalamp.properties.MissingPropertyExceptionTest$null;4;1;0;0;0;195;33;121;41;82;319
294553;net.sf.lavalamp.site.BuildPropertiesTest$null;23;22;0;0;10;195;33;121;41;82;319
298288;net.sf.lavalamp.site.BuildsCheckerTest$null;90;86;3;3;19;198;33;122;43;79;322
299332;net.sf.lavalamp.site.BuildsTest$null;85;79;1;1;8;199;33;123;43;78;323
299765;net.sf.lavalamp.site.DummyRemoteGetterTest$null;5;1;3;2;2;202;34;124;44;75;325
299772;net.sf.lavalamp.site.DummyRestGetterTest$null;4;1;2;2;2;204;35;125;44;73;327
299772;net.sf.lavalamp.site.MissingBuildExceptionTest$null;5;1;0;0;0;204;35;125;44;73;327
299772;net.sf.lavalamp.site.SiteFactoryTest$null;8;5;0;0;3;204;35;125;44;73;327
325204;net.sf.lavalamp.site.UrlGetterTest$null;343;341;18;18;50;222;35;143;44;55;345
329453;net.sf.lavalamp.site.impl.Bamboo3RestApiTest$null;85;121;3;4;6;225;35;144;46;52;349
332491;net.sf.lavalamp.site.impl.BambooRemoteApiTest$null;85;84;3;3;9;228;35;147;46;49;352
337520;net.sf.lavalamp.site.impl.BambooRestApiTest$null;98;91;5;5;11;233;35;149;49;44;357
347587;net.sf.lavalamp.site.impl.BambooSiteTest$null;108;98;10;10;19;243;35;151;57;34;367
353553;net.sf.lavalamp.site.impl.HudsonTest$null;192;99;7;6;19;250;35;157;58;27;373
