CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
795;net.sf.doodleproject.numerics4j.continuedfraction.ContinuedFractionTest$null;13;1;76;85;85;76;47;28;1;3792;85
795;net.sf.doodleproject.numerics4j.exception.ConvergenceExceptionTest$null;3;1;0;0;0;76;47;28;1;3792;85
795;net.sf.doodleproject.numerics4j.exception.NumericExceptionTest$null;2;0;0;0;0;76;47;28;1;3792;85
2381;net.sf.doodleproject.numerics4j.integration.AdaptiveIntegratorTest$null;47;8;133;171;186;209;58;150;1;3659;256
10671;net.sf.doodleproject.numerics4j.integration.RombergIntegratorTest$null;6;2;137;170;185;346;89;185;72;3522;426
13125;net.sf.doodleproject.numerics4j.integration.SimpsonsIntegratorTest$null;7;2;45;58;146;391;114;191;86;3477;484
31307;net.sf.doodleproject.numerics4j.integration.TrapezoidalIntegratorTest$null;196;48;23;36;124;414;120;197;97;3454;520
31324;net.sf.doodleproject.numerics4j.iterativeMethTest$null;3;1;4;5;20;418;120;201;97;3450;525
31991;net.sf.doodleproject.numerics4j.root.BisectionRootFinderTest$null;6;2;49;66;89;467;139;229;99;3401;591
32707;net.sf.doodleproject.numerics4j.root.BracketTest$null;3;1;43;63;63;510;169;238;103;3358;654
33095;net.sf.doodleproject.numerics4j.root.FalsePositionRootFinderTest$null;5;1;34;57;72;544;174;267;103;3324;711
33393;net.sf.doodleproject.numerics4j.root.NewtonRootFinderTest$null;6;2;30;44;69;574;178;293;103;3294;755
33712;net.sf.doodleproject.numerics4j.root.SecantRootFinderTest$null;4;0;34;47;62;608;189;316;103;3260;802
34032;net.sf.doodleproject.numerics4j.series.PowerSeriesTest$null;5;1;35;45;60;643;212;328;103;3225;847
34339;net.sf.doodleproject.numerics4j.series.SeriesTest$null;6;1;22;33;58;665;224;337;104;3203;880
37998;net.sf.doodleproject.numerics4j.special.BetaTest$null;9;5;346;414;492;1011;553;354;104;2857;1294
40958;net.sf.doodleproject.numerics4j.special.ErfTest$null;10;5;203;304;521;1214;725;385;104;2654;1598
41591;net.sf.doodleproject.numerics4j.special.GammaTest$null;8;4;20;84;418;1234;744;386;104;2634;1682
42113;net.sf.doodleproject.numerics4j.special.TrigonometricTest$null;2;1;121;145;145;1355;865;386;104;2513;1827
51261;net.sf.doodleproject.numerics4j.statistics.distribution.BetaDistributionTest$null;167;63;76;182;699;1431;906;421;104;2437;2009
58289;net.sf.doodleproject.numerics4j.statistics.distribution.BinomialDistributionTest$null;36;8;334;438;438;1765;1215;434;116;2103;2447
58827;net.sf.doodleproject.numerics4j.statistics.distribution.CauchyDistributionTest$null;4;1;85;104;104;1850;1298;436;116;2018;2551
64714;net.sf.doodleproject.numerics4j.statistics.distribution.ChiSquaredDistributionTest$null;89;36;89;208;653;1939;1346;477;116;1929;2759
64988;net.sf.doodleproject.numerics4j.statistics.distribution.ExponentialDistributionTest$null;4;1;56;71;71;1995;1400;479;116;1873;2830
73461;net.sf.doodleproject.numerics4j.statistics.distribution.FDistributionTest$null;165;61;89;191;720;2084;1462;506;116;1784;3021
77800;net.sf.doodleproject.numerics4j.statistics.distribution.GammaDistributionTest$null;87;33;11;123;633;2095;1468;511;116;1773;3144
83164;net.sf.doodleproject.numerics4j.statistics.distribution.GeometricDistributionTest$null;41;16;98;195;435;2193;1550;519;124;1675;3339
86557;net.sf.doodleproject.numerics4j.statistics.distribution.HypergeometricDistributionTest$null;38;16;102;216;467;2295;1633;537;125;1573;3555
87314;net.sf.doodleproject.numerics4j.statistics.distribution.LaplaceDistributionTest$null;4;1;125;152;152;2420;1756;539;125;1448;3707
95635;net.sf.doodleproject.numerics4j.statistics.distribution.LogNormalDistributionTest$null;94;42;103;232;712;2523;1846;552;125;1345;3939
96107;net.sf.doodleproject.numerics4j.statistics.distribution.LogisticDistributionTest$null;3;1;81;109;109;2604;1921;558;125;1264;4048
103470;net.sf.doodleproject.numerics4j.statistics.distribution.NegativeBinomialDistributionTest$null;72;32;85;178;429;2689;1982;576;131;1179;4226
108255;net.sf.doodleproject.numerics4j.statistics.distribution.NormalDistributionTest$null;59;28;82;210;706;2771;2062;578;131;1097;4436
110749;net.sf.doodleproject.numerics4j.statistics.distribution.PoissonDistributionTest$null;20;7;64;147;329;2835;2113;585;137;1033;4583
111173;net.sf.doodleproject.numerics4j.statistics.distribution.RayleighDistributionTest$null;3;0;77;96;96;2912;2185;590;137;956;4679
111382;net.sf.doodleproject.numerics4j.statistics.distribution.SaddlePointApproximationTest$null;3;1;15;54;216;2927;2200;590;137;941;4733
120152;net.sf.doodleproject.numerics4j.statistics.distribution.TDistributionTest$null;156;61;88;190;721;3015;2233;645;137;853;4923
120520;net.sf.doodleproject.numerics4j.statistics.distribution.UniformDistributionTest$null;4;1;65;84;84;3080;2292;651;137;788;5007
121012;net.sf.doodleproject.numerics4j.util.DoubleArrayTest$null;2;1;36;51;60;3116;2307;669;140;752;5058
