CurrentTotalRuntime;Testname;RuntimeToGetCoverage;RuntimeOriginal;KilledByTest;AnalyzedByTest;CoveredByTest;TotalKilled;TotalFailure;TotalException;TotalTimeout;LiveMutants;TotalAnalyzed
812;net.sf.doodleproject.numerics4j.continuedfraction.ContinuedFractionTest$null;13;2;76;85;85;76;53;22;1;3792;85
813;net.sf.doodleproject.numerics4j.exception.ConvergenceExceptionTest$null;10;0;0;0;0;76;53;22;1;3792;85
813;net.sf.doodleproject.numerics4j.exception.NumericExceptionTest$null;3;0;0;0;0;76;53;22;1;3792;85
2493;net.sf.doodleproject.numerics4j.integration.AdaptiveIntegratorTest$null;52;9;133;171;186;209;64;144;1;3659;256
10789;net.sf.doodleproject.numerics4j.integration.RombergIntegratorTest$null;6;2;137;170;185;346;95;179;72;3522;426
13260;net.sf.doodleproject.numerics4j.integration.SimpsonsIntegratorTest$null;7;2;45;58;146;391;120;185;86;3477;484
32477;net.sf.doodleproject.numerics4j.integration.TrapezoidalIntegratorTest$null;208;51;23;36;124;414;126;191;97;3454;520
32495;net.sf.doodleproject.numerics4j.iterativeMethTest$null;4;1;4;5;20;418;126;195;97;3450;525
33141;net.sf.doodleproject.numerics4j.root.BisectionRootFinderTest$null;8;2;49;66;89;467;145;223;99;3401;591
33852;net.sf.doodleproject.numerics4j.root.BracketTest$null;6;2;43;63;63;510;172;235;103;3358;654
34202;net.sf.doodleproject.numerics4j.root.FalsePositionRootFinderTest$null;5;2;34;57;72;544;177;264;103;3324;711
34525;net.sf.doodleproject.numerics4j.root.NewtonRootFinderTest$null;6;1;30;44;69;574;181;290;103;3294;755
34832;net.sf.doodleproject.numerics4j.root.SecantRootFinderTest$null;4;1;34;47;62;608;192;313;103;3260;802
35129;net.sf.doodleproject.numerics4j.series.PowerSeriesTest$null;5;1;35;45;60;643;215;325;103;3225;847
35463;net.sf.doodleproject.numerics4j.series.SeriesTest$null;5;1;22;33;58;665;227;334;104;3203;880
38984;net.sf.doodleproject.numerics4j.special.BetaTest$null;9;4;346;414;492;1011;556;351;104;2857;1294
41741;net.sf.doodleproject.numerics4j.special.ErfTest$null;10;8;203;304;521;1214;727;383;104;2654;1598
42431;net.sf.doodleproject.numerics4j.special.GammaTest$null;8;4;20;84;418;1234;746;384;104;2634;1682
42954;net.sf.doodleproject.numerics4j.special.TrigonometricTest$null;3;1;121;145;145;1355;867;384;104;2513;1827
52257;net.sf.doodleproject.numerics4j.statistics.distribution.BetaDistributionTest$null;175;64;76;182;699;1431;902;425;104;2437;2009
58023;net.sf.doodleproject.numerics4j.statistics.distribution.BinomialDistributionTest$null;24;8;334;438;438;1765;1203;446;116;2103;2447
58481;net.sf.doodleproject.numerics4j.statistics.distribution.CauchyDistributionTest$null;11;1;85;104;104;1850;1282;452;116;2018;2551
64551;net.sf.doodleproject.numerics4j.statistics.distribution.ChiSquaredDistributionTest$null;85;36;89;208;653;1939;1330;493;116;1929;2759
64772;net.sf.doodleproject.numerics4j.statistics.distribution.ExponentialDistributionTest$null;4;1;56;71;71;1995;1381;498;116;1873;2830
74062;net.sf.doodleproject.numerics4j.statistics.distribution.FDistributionTest$null;169;61;89;191;720;2084;1437;531;116;1784;3021
78327;net.sf.doodleproject.numerics4j.statistics.distribution.GammaDistributionTest$null;83;33;11;123;633;2095;1442;537;116;1773;3144
83689;net.sf.doodleproject.numerics4j.statistics.distribution.GeometricDistributionTest$null;42;17;98;195;435;2193;1517;552;124;1675;3339
87277;net.sf.doodleproject.numerics4j.statistics.distribution.HypergeometricDistributionTest$null;43;15;102;216;467;2295;1597;573;125;1573;3555
88040;net.sf.doodleproject.numerics4j.statistics.distribution.LaplaceDistributionTest$null;4;1;125;152;152;2420;1716;579;125;1448;3707
96614;net.sf.doodleproject.numerics4j.statistics.distribution.LogNormalDistributionTest$null;101;46;103;232;712;2523;1802;596;125;1345;3939
97190;net.sf.doodleproject.numerics4j.statistics.distribution.LogisticDistributionTest$null;4;0;81;109;109;2604;1877;602;125;1264;4048
108501;net.sf.doodleproject.numerics4j.statistics.distribution.NegativeBinomialDistributionTest$null;76;31;85;178;429;2689;1932;621;136;1179;4226
113337;net.sf.doodleproject.numerics4j.statistics.distribution.NormalDistributionTest$null;62;26;82;210;706;2771;2008;627;136;1097;4436
116360;net.sf.doodleproject.numerics4j.statistics.distribution.PoissonDistributionTest$null;22;7;64;147;329;2835;2056;634;145;1033;4583
116775;net.sf.doodleproject.numerics4j.statistics.distribution.RayleighDistributionTest$null;5;0;77;96;96;2912;2128;639;145;956;4679
116983;net.sf.doodleproject.numerics4j.statistics.distribution.SaddlePointApproximationTest$null;3;1;15;54;216;2927;2143;639;145;941;4733
125550;net.sf.doodleproject.numerics4j.statistics.distribution.TDistributionTest$null;170;61;88;190;721;3015;2176;694;145;853;4923
125909;net.sf.doodleproject.numerics4j.statistics.distribution.UniformDistributionTest$null;3;1;65;84;84;3080;2235;700;145;788;5007
126394;net.sf.doodleproject.numerics4j.util.DoubleArrayTest$null;3;0;36;51;60;3116;2250;718;148;752;5058
